"track_artist","track_name","energy","loudness","liveness","valence","speechiness","danceability","playlist_genre","count"
"Queen","Sheer Heart Attack - Remastered 2011",0.938,-4.624,0.359,0.383,0.126,0.155,"rock",2
"Queen","Death On Two Legs (Dedicated To...) - Remastered 2011",0.691,-6.219,0.133,0.499,0.0554,0.373,"rock",2
"Queen","Stone Cold Crazy - Remastered 2011",0.922,-6.649,0.0954,0.439,0.0924,0.429,"rock",2
"The Chainsmokers","Family",0.607,-6.605,0.101,0.374,0.0356,0.584,"latin",5
"Martin Garrix","These Are The Times (feat. JRM)",0.707,-6.19,0.16,0.607,0.0328,0.687,"latin",4
"Martin Garrix","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",0.723,-6.976,0.14,0.316,0.0566,0.661,"latin",2
"The Chainsmokers","All We Know - Oliver Heldens Remix",0.8,-5.852,0.314,0.43,0.0303,0.711,"latin",2
"David Guetta","Bang My Head (feat. Sia & Fetty Wap)",0.869,-3.697,0.103,0.593,0.0789,0.599,"latin",2
"The Chainsmokers","Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,"latin",7
"The Chainsmokers","Somebody",0.616,-7.074,0.0928,0.292,0.0328,0.532,"latin",3
"Martin Garrix","Ocean (feat. Khalid)",0.693,-7.265,0.0891,0.221,0.0412,0.506,"latin",2
"The Chainsmokers","Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,"latin",6
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"latin",10
"The Chainsmokers","Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,"latin",7
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"latin",8
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"latin",10
"Don Omar","Danza Kuduro",0.915,-4.89,0.0503,0.878,0.28,0.4,"latin",5
"Don Omar","Te Quiero Pa´Mi",0.812,-3.95,0.192,0.661,0.0593,0.759,"latin",4
"Don Omar","Zumba",0.894,-3.494,0.128,0.832,0.0397,0.729,"latin",3
"Don Omar","Perdido En Tus Ojos",0.882,-4.546,0.226,0.787,0.0312,0.684,"latin",3
"Don Omar","No Te Vayas",0.692,-6.759,0.0864,0.652,0.0382,0.759,"latin",1
"Don Omar","Salió El Sol",0.701,-5.892,0.0466,0.965,0.0873,0.887,"latin",2
"Don Omar","Pobre Diabla",0.763,-6.995,0.0877,0.849,0.0517,0.748,"latin",2
"Don Omar","No Se De Ella ""My Space""",0.676,-9.174,0.242,0.77,0.0934,0.815,"latin",3
"Don Omar","Dile",0.714,-7.501,0.042,0.714,0.141,0.817,"latin",5
"Don Omar","Ayer La Vi",0.716,-8.398,0.163,0.771,0.0541,0.801,"latin",3
"Don Omar","Dutty Love",0.873,-3.373,0.114,0.899,0.082,0.742,"latin",3
"Don Omar","Virtual Diva",0.881,-4.205,0.753,0.729,0.0505,0.785,"latin",4
"Don Omar","Bandoleros",0.896,-5.311,0.186,0.79,0.251,0.662,"latin",1
"Don Omar","Salió El Sol",0.727,-5.907,0.0432,0.963,0.0845,0.884,"latin",2
"Don Omar","Dile",0.744,-6.096,0.0692,0.748,0.0938,0.822,"latin",5
"Don Omar","Hasta Abajo",0.919,-3.867,0.0882,0.683,0.0792,0.697,"latin",2
"Don Omar","Dale Don Dale",0.852,-6.471,0.13,0.813,0.0789,0.825,"latin",4
"Don Omar","Te Quiero Pa´Mi",0.812,-3.95,0.192,0.661,0.0593,0.759,"latin",4
"Don Omar","Dale Don Dale",0.852,-6.471,0.13,0.813,0.0789,0.825,"latin",4
"Don Omar","Taboo",0.884,-5.782,0.0827,0.813,0.0641,0.442,"latin",3
"Don Omar","Guaya Guaya",0.872,-2.116,0.136,0.687,0.243,0.689,"latin",3
"Don Omar","Sexy Robotica",0.867,-5.138,0.449,0.561,0.0334,0.741,"latin",2
"Don Omar","Salio El Sol",0.722,-5.862,0.043,0.964,0.0844,0.883,"latin",1
"Don Omar","Virtual Diva",0.87,-4.657,0.393,0.692,0.0485,0.783,"latin",4
"Don Omar","Ojitos Chiquitos",0.839,-3.267,0.0946,0.792,0.24,0.801,"latin",1
"Don Omar","No Se De Ella ""My Space""",0.676,-9.174,0.242,0.77,0.0934,0.815,"latin",3
"Don Omar","Ayer La Vi",0.716,-8.398,0.18,0.771,0.0541,0.801,"latin",3
"Don Omar","Blue Zone",0.712,-4.47,0.455,0.478,0.0541,0.796,"latin",2
"Don Omar","Hooka",0.86,-5.09,0.804,0.817,0.16,0.732,"latin",3
"Don Omar","RX",0.869,-4.452,0.13,0.907,0.284,0.7,"latin",2
"Don Omar","Good Looking",0.878,-6.684,0.733,0.76,0.164,0.655,"latin",3
"Don Omar","En Su Nota",0.843,-5.927,0.156,0.883,0.272,0.657,"latin",2
"Don Omar","Vacilón",0.519,-9.483,0.311,0.685,0.0824,0.734,"latin",1
"Don Omar","Dile",0.714,-7.438,0.0528,0.724,0.139,0.828,"latin",5
"Don Omar","Pobre Diabla",0.748,-7.006,0.0849,0.85,0.0568,0.741,"latin",2
"Don Omar","No Se De Ella ""My Space""",0.667,-9.182,0.258,0.776,0.092,0.817,"latin",3
"Don Omar","Dutty Love",0.875,-3.365,0.13,0.91,0.109,0.738,"latin",3
"Don Omar","Ramayama",0.708,-5.252,0.387,0.961,0.138,0.696,"latin",1
"Don Omar","Salió El Sol - Remastered 2016",0.749,-5.277,0.0436,0.964,0.0973,0.884,"latin",1
"Don Omar","Guaya Guaya",0.873,-2.322,0.0908,0.703,0.117,0.788,"latin",3
"Don Omar","Dale Don Dale",0.818,-7.827,0.0892,0.807,0.0825,0.831,"latin",4
"Don Omar","Ojitos Chiquitos - Remastered 2016",0.863,-2.587,0.0698,0.803,0.237,0.791,"latin",1
"Don Omar","Taboo",0.886,-5.811,0.0879,0.808,0.0828,0.43,"latin",3
"Don Omar","Dile",0.705,-7.503,0.0561,0.711,0.16,0.676,"latin",5
"Don Omar","Sexy Robotica",0.867,-5.138,0.449,0.561,0.0334,0.741,"latin",2
"Don Omar","Danza Kuduro",0.915,-4.89,0.0503,0.878,0.28,0.4,"latin",5
"Don Omar","Zumba",0.894,-3.494,0.128,0.832,0.0397,0.729,"latin",3
"Don Omar","Cuéntale - Remastered 2016",0.94,-2.751,0.258,0.609,0.188,0.578,"latin",1
"Don Omar","Hooka",0.863,-5.082,0.491,0.818,0.154,0.73,"latin",3
"Don Omar","Aunque Te Fuiste",0.566,-8.35,0.417,0.414,0.0444,0.568,"latin",1
"Don Omar","Conteo - Remastered 2016",0.707,-5.547,0.33,0.307,0.226,0.818,"latin",1
"Don Omar","Good Looking",0.88,-6.695,0.814,0.757,0.156,0.629,"latin",3
"Don Omar","Angelito - Remastered 2016",0.691,-4.332,0.167,0.29,0.0415,0.637,"latin",1
"Don Omar","Quien La Vio Llorar",0.567,-6.894,0.354,0.376,0.0361,0.47,"latin",1
"Don Omar","Blue Zone",0.712,-4.47,0.455,0.478,0.0541,0.796,"latin",2
"Don Omar","No Sigue Modas Aka Ella No Sigue Modas",0.868,-4.558,0.0258,0.842,0.0854,0.704,"latin",1
"Don Omar","Hasta Que Salga El Sol",0.958,-4.029,0.331,0.885,0.349,0.355,"latin",1
"Don Omar","Belly Danza - Remastered 2016",0.873,-2.912,0.0818,0.913,0.238,0.808,"latin",1
"Don Omar","Ronca",0.891,-5.54,0.0536,0.715,0.199,0.676,"latin",1
"Don Omar","Slow Motion",0.842,-4.919,0.0382,0.695,0.222,0.736,"latin",1
"Don Omar","Perdido En Tus Ojos",0.882,-4.546,0.226,0.787,0.0312,0.684,"latin",3
"Don Omar","Te Recordaré Bailando",0.888,-4.778,0.0565,0.727,0.0441,0.718,"latin",1
"Don Omar","Ella Ella",0.667,-5.845,0.0647,0.688,0.124,0.821,"latin",1
"Don Omar","Repórtense - Remastered 2016",0.881,-4.335,0.306,0.536,0.0909,0.771,"latin",1
"Don Omar","Not To Much - Remastered 2016",0.726,-4.59,0.203,0.261,0.0564,0.752,"latin",1
"Don Omar","Bailando Sola - Remastered 2016",0.653,-4.857,0.248,0.324,0.27,0.748,"latin",1
"Don Omar","Sandunga",0.855,-5.108,0.0443,0.798,0.134,0.857,"latin",1
"Don Omar","Dobla Rodilla",0.909,-4.871,0.341,0.715,0.106,0.663,"latin",1
"Don Omar","Tírate Al Medio",0.901,-4.365,0.857,0.2,0.0536,0.603,"latin",2
"Don Omar","Huerfano De Amor",0.692,-7.941,0.381,0.861,0.0449,0.718,"latin",1
"Don Omar","Soledad",0.876,-4.41,0.376,0.645,0.101,0.62,"latin",1
"Don Omar","How We Roll",0.753,-8.877,0.352,0.734,0.172,0.742,"latin",1
"Don Omar","Yo Soy De Aqui",0.738,-3.508,0.414,0.729,0.172,0.698,"latin",1
"Don Omar","Encanto",0.871,-5.123,0.0752,0.902,0.0499,0.744,"latin",1
"Don Omar","Luna Llena",0.787,-6.299,0.242,0.394,0.0366,0.735,"latin",1
"Don Omar","Intocable",0.631,-8.124,0.107,0.482,0.172,0.887,"latin",1
"The Chainsmokers","Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,"latin",7
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"latin",8
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"latin",10
"Don Omar","Te Quiero Pa´Mi",0.816,-3.99,0.197,0.624,0.0595,0.765,"latin",4
"Don Omar","Dutty Love",0.873,-3.373,0.114,0.899,0.082,0.742,"latin",3
"Don Omar","Zumba",0.894,-3.494,0.128,0.832,0.0397,0.729,"latin",3
"David Guetta","Who's That Chick? (feat. Rihanna)",0.601,-4.733,0.0458,0.931,0.116,0.675,"latin",1
"Don Omar","Así Es Que Es",0.861,-4.927,0.0724,0.863,0.204,0.539,"latin",1
"Don Omar","Hasta Abajo",0.919,-3.867,0.0882,0.683,0.0792,0.697,"latin",2
"Don Omar","Good Looking",0.88,-6.695,0.814,0.757,0.156,0.629,"latin",3
"Don Omar","Hooka",0.863,-5.082,0.491,0.818,0.154,0.73,"latin",3
"Don Omar","RX",0.867,-4.468,0.163,0.892,0.27,0.646,"latin",2
"Don Omar","Conteo - Fast And The Furious: Tokyo Drift Version",0.645,-7.314,0.281,0.322,0.214,0.824,"latin",1
"Don Omar","Dale Don Dale",0.809,-7.84,0.0887,0.803,0.0845,0.822,"latin",4
"Don Omar","Dile",0.714,-7.501,0.042,0.714,0.141,0.817,"latin",5
"Don Omar","En Su Nota",0.843,-5.927,0.156,0.883,0.272,0.657,"latin",2
"Don Omar","Tírate Al Medio",0.901,-4.365,0.857,0.2,0.0536,0.603,"latin",2
"Don Omar","Guaya Guaya",0.873,-2.322,0.0908,0.703,0.117,0.788,"latin",3
"Don Omar","Perdido En Tus Ojos",0.882,-4.546,0.226,0.787,0.0312,0.684,"latin",3
"Don Omar","Entre Tu y Yo",0.535,-12.982,0.346,0.662,0.191,0.828,"latin",1
"Don Omar","Ayer La Vi",0.707,-8.403,0.152,0.808,0.0533,0.798,"latin",3
"Don Omar","Virtual Diva",0.941,-1.311,0.696,0.653,0.0667,0.76,"latin",4
"Don Omar","Taboo",0.884,-5.782,0.0827,0.813,0.0641,0.442,"latin",3
"David Guetta","Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,"latin",6
"David Guetta","Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,"latin",3
"Don Omar","Danza Kuduro",0.917,-4.897,0.065,0.889,0.115,0.699,"latin",5
"Don Omar","Te Quiero Pa´Mi",0.81,-4.024,0.178,0.571,0.0664,0.762,"latin",4
"Don Omar","Virtual Diva",0.87,-4.657,0.393,0.692,0.0485,0.783,"latin",4
"Don Omar","Los Bandoleros (feat. Tego Calderon)",0.878,-4.813,0.322,0.77,0.381,0.592,"latin",1
"Don Omar","Danza Kuduro",0.915,-4.89,0.0503,0.878,0.28,0.4,"latin",5
"The Chainsmokers","Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,"r&b",3
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"r&b",8
"The Chainsmokers","Family",0.607,-6.605,0.101,0.374,0.0356,0.584,"r&b",5
"The Chainsmokers","Somebody",0.63,-7.019,0.102,0.323,0.0493,0.32,"r&b",3
"The Chainsmokers","Who Do You Love",0.783,-6.143,0.174,0.493,0.0388,0.529,"r&b",4
"The Chainsmokers","Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,"r&b",7
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"r&b",8
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"r&b",10
"The Chainsmokers","Sick Boy",0.58,-7.524,0.127,0.462,0.121,0.548,"r&b",1
"Martin Garrix","So Far Away (feat. Jamie Scott & Romy Dya)",0.52,-7.985,0.197,0.13,0.0569,0.526,"r&b",2
"The Chainsmokers","Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,"r&b",7
"Martin Garrix","Ocean (feat. Khalid) - David Guetta Remix",0.824,-8.251,0.134,0.36,0.0795,0.609,"edm",1
"The Chainsmokers","Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,"edm",4
"Martin Garrix","Hold On (feat. Michel Zitron)",0.711,-4.809,0.559,0.321,0.0385,0.422,"edm",3
"Martin Garrix","Used To Love (with Dean Lewis) - SWACQ Remix",0.733,-6.302,0.593,0.47,0.0582,0.765,"edm",2
"Martin Garrix","No Sleep (feat. Bonn) - DubVision Remix",0.79,-6.128,0.213,0.291,0.0589,0.584,"edm",3
"David Guetta","Make It To Heaven (with Raye)",0.92,-4.697,0.185,0.35,0.0914,0.587,"edm",2
"Martin Garrix","Home (feat. Bonn)",0.612,-4.855,0.132,0.236,0.0307,0.466,"edm",2
"David Guetta","Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,"edm",3
"David Guetta","Thing For You - David Guetta Remix",0.867,-4.402,0.115,0.452,0.061,0.44,"edm",2
"Martin Garrix","Used To Love (with Dean Lewis)",0.693,-4.722,0.335,0.392,0.0375,0.651,"edm",4
"Martin Garrix","Glitch",0.792,-6.4,0.269,0.357,0.0325,0.715,"edm",3
"Martin Garrix","Latency",0.937,-1.098,0.497,0.449,0.18,0.66,"edm",2
"Martin Garrix","These Are The Times (feat. JRM)",0.707,-6.19,0.16,0.607,0.0328,0.687,"edm",4
"Martin Garrix","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix",0.78,-4.446,0.0729,0.238,0.0594,0.69,"edm",2
"Martin Garrix","Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,"edm",5
"Martin Garrix","Dreamer - Nicky Romero Remix",0.751,-4.999,0.253,0.346,0.0599,0.435,"edm",3
"Martin Garrix","Burn Out (feat. Dewain Whitmore)",0.722,-5.751,0.0667,0.407,0.0398,0.594,"edm",3
"Martin Garrix","High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,"edm",6
"Martin Garrix","Forever",0.898,-3.604,0.166,0.22,0.0395,0.45,"edm",3
"Martin Garrix","Pizza",0.712,-6.9,0.183,0.0378,0.0355,0.381,"edm",2
"Martin Garrix","There For You - Madison Mars Remix",0.947,-1.84,0.1,0.347,0.163,0.6,"edm",2
"The Chainsmokers","Honest - Gil Glaze Remix",0.93,-5.742,0.137,0.454,0.0404,0.558,"edm",1
"Martin Garrix","Just Some Loops - Original Mix",0.813,-6.344,0.371,0.223,0.147,0.814,"edm",1
"Martin Garrix","Wizard - Radio Edit",0.916,-4.715,0.617,0.0795,0.052,0.565,"edm",3
"Martin Garrix","Virus (How About Now)",0.841,-5.51,0.801,0.0671,0.04,0.488,"edm",4
"Martin Garrix","Helicopter - Original Edit",0.962,-4.52,0.0977,0.0749,0.0427,0.601,"edm",2
"Martin Garrix","Proxy - Original Mix",0.698,-5.679,0.237,0.257,0.0335,0.682,"edm",1
"Martin Garrix","Dragon - Radio Edit",0.917,-4.048,0.0592,0.145,0.0628,0.513,"edm",2
"Martin Garrix","Animals - Jay Ronko Remix",0.967,-4.268,0.0614,0.188,0.0396,0.682,"edm",1
"Martin Garrix","Forbidden Voices",0.711,-5.927,0.135,0.3,0.0368,0.534,"edm",4
"Martin Garrix","Poison",0.756,-6.118,0.377,0.062,0.0363,0.502,"edm",1
"Martin Garrix","Bouncybob (feat. Justin Mylo & Mesto)",0.896,-7.863,0.13,0.331,0.0692,0.73,"edm",1
"Martin Garrix","Now That I've Found You (feat. John & Michel)",0.831,-5.812,0.495,0.414,0.0319,0.495,"edm",2
"Martin Garrix","Lions in the Wild",0.847,-6.81,0.816,0.28,0.0442,0.504,"edm",5
"Martin Garrix","Oops",0.535,-6.941,0.377,0.154,0.0421,0.618,"edm",1
"Martin Garrix","In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,"edm",5
"Martin Garrix","WIEE",0.835,-7.775,0.0711,0.373,0.0544,0.52,"edm",1
"Martin Garrix","Sun Is Never Going Down",0.726,-5.964,0.266,0.266,0.0366,0.506,"edm",1
"Martin Garrix","Spotless",0.828,-5.648,0.411,0.0605,0.0482,0.517,"edm",2
"Martin Garrix","Together",0.729,-4.773,0.233,0.196,0.0343,0.509,"edm",3
"Martin Garrix","Animals - Radio Edit",0.923,-5.461,0.071,0.0378,0.0353,0.589,"edm",2
"Martin Garrix","Welcome",0.962,-6.555,0.123,0.0422,0.136,0.689,"edm",1
"Martin Garrix","Error 404 - Original Mix",0.862,-7.102,0.0442,0.285,0.0887,0.673,"edm",2
"Martin Garrix","Scared To Be Lonely - Brooks Remix",0.796,-2.416,0.106,0.225,0.0597,0.604,"edm",2
"Martin Garrix","Scared To Be Lonely - LOOPERS Remix",0.934,-3.984,0.396,0.512,0.16,0.61,"edm",1
"Martin Garrix","Byte",0.931,-4.026,0.0593,0.267,0.0329,0.597,"edm",2
"Martin Garrix","There For You - Dzeko Remix",0.907,-5.224,0.165,0.515,0.154,0.61,"edm",1
"The Chainsmokers","Don't Let Me Down - W&W Remix",0.877,-5.677,0.126,0.484,0.121,0.431,"edm",4
"The Chainsmokers","Roses - Zaxx Remix",0.881,-3.534,0.359,0.566,0.054,0.677,"edm",2
"Martin Garrix","In the Name of Love - DallasK Remix",0.816,-3.156,0.348,0.102,0.0643,0.522,"edm",2
"Martin Garrix","Waiting For Tomorrow (feat. Mike Shinoda)",0.887,-4.084,0.562,0.336,0.141,0.507,"edm",3
"The Chainsmokers","Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,"edm",3
"Martin Garrix","So Far Away - Nicky Romero Remix",0.493,-4.89,0.0417,0.242,0.0443,0.569,"edm",2
"Martin Garrix","Yottabyte",0.632,-4.52,0.116,0.449,0.0313,0.634,"edm",1
"Martin Garrix","Sun Is Never Going Down (feat. Dawn Golden)",0.726,-5.964,0.266,0.266,0.0366,0.506,"edm",2
"Martin Garrix","Game Over",0.941,-3.203,0.398,0.396,0.0895,0.606,"edm",1
"The Chainsmokers","Setting Fires - Blasterjaxx Remix",0.938,-4.887,0.194,0.164,0.286,0.585,"edm",2
"David Guetta","Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,"edm",6
"Martin Garrix","Animals - Original Mix",0.866,-6.384,0.383,0.0376,0.0386,0.674,"edm",3
"David Guetta","Metropolis",0.982,-2.894,0.244,0.364,0.13,0.691,"edm",2
"Martin Garrix","Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,"edm",6
"David Guetta","Blast Off - Radio Edit",0.993,-1.702,0.197,0.128,0.18,0.656,"edm",2
"David Guetta","Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,"edm",4
"David Guetta","Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,"edm",6
"David Guetta","Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,"edm",6
"Martin Garrix","Don't Look Down",0.831,-5.972,0.111,0.377,0.0356,0.575,"edm",2
"Martin Garrix","Forbidden Voices",0.711,-5.927,0.135,0.3,0.0368,0.534,"edm",4
"Martin Garrix","Lions in the Wild",0.847,-6.81,0.816,0.28,0.0442,0.504,"edm",5
"Martin Garrix","The Only Way Is Up - Radio Edit",0.81,-5.976,0.0906,0.173,0.0341,0.593,"edm",1
"Martin Garrix","Dragon - Radio Edit",0.917,-4.048,0.0592,0.145,0.0628,0.513,"edm",2
"Martin Garrix","Break Through The Silence - Radio Edit",0.95,-5.167,0.299,0.153,0.0666,0.573,"edm",1
"Martin Garrix","Virus (How About Now)",0.841,-5.51,0.801,0.0671,0.04,0.488,"edm",4
"Martin Garrix","Proxy",0.695,-5.722,0.197,0.292,0.0334,0.667,"edm",1
"Martin Garrix","Animals",0.865,-6.381,0.382,0.0372,0.0389,0.676,"edm",1
"Martin Garrix","Error 404 - Original Mix",0.862,-7.102,0.0442,0.285,0.0887,0.673,"edm",2
"Martin Garrix","Wizard",0.902,-5.098,0.513,0.23,0.0707,0.582,"edm",2
"David Guetta","Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,"edm",6
"David Guetta","Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,"edm",5
"The Chainsmokers","Don't Let Me Down - W&W Remix",0.877,-5.677,0.126,0.484,0.121,0.431,"edm",4
"Martin Garrix","Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,"edm",6
"Martin Garrix","Animals - Oliver Heldens Remix",0.949,-5.1,0.188,0.513,0.0452,0.669,"edm",1
"Martin Garrix","Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,"edm",5
"Martin Garrix","Dreamer - Nicky Romero Remix",0.751,-4.999,0.253,0.346,0.0599,0.435,"edm",3
"David Guetta","Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,"edm",5
"Martin Garrix","No Sleep (feat. Bonn) - DubVision Remix",0.79,-6.128,0.213,0.291,0.0589,0.584,"edm",3
"Martin Garrix","High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,"edm",6
"Martin Garrix","Virus (How About Now)",0.818,-6.252,0.824,0.0801,0.0395,0.493,"edm",4
"Martin Garrix","Wizard",0.915,-4.98,0.489,0.186,0.068,0.578,"edm",2
"Martin Garrix","Helicopter - Video Edit",0.96,-4.492,0.175,0.165,0.0379,0.584,"edm",6
"The Chainsmokers","Family",0.607,-6.605,0.101,0.374,0.0356,0.584,"edm",5
"Martin Garrix","Used To Love (with Dean Lewis)",0.693,-4.722,0.335,0.392,0.0375,0.651,"edm",4
"The Chainsmokers","Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,"edm",3
"The Chainsmokers","Don't Let Me Down - W&W Remix",0.903,-4.638,0.115,0.446,0.14,0.435,"edm",4
"Martin Garrix","Virus (How About Now) - Original Mix",0.86,-5.366,0.155,0.0399,0.0398,0.595,"edm",2
"David Guetta","Lovers on the Sun (feat. Sam Martin) - Stadiumx Remix",0.9,-2.827,0.0638,0.278,0.0418,0.632,"edm",1
"Martin Garrix","Animals - Radio Edit",0.914,-5.351,0.0714,0.0381,0.0363,0.593,"edm",2
"Martin Garrix","No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,"edm",5
"David Guetta","Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,"edm",5
"Martin Garrix","In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,"edm",5
"David Guetta","Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix",0.91,-3.916,0.0783,0.239,0.0594,0.406,"edm",1
"The Chainsmokers","Until You Were Gone",0.698,-4.773,0.131,0.324,0.0451,0.577,"edm",1
"The Chainsmokers","Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,"edm",6
"David Guetta","Make It To Heaven (with Raye) - Rework",0.62,-8.073,0.102,0.443,0.0375,0.679,"edm",1
"Martin Garrix","No Sleep (feat. Bonn) - DubVision Remix",0.79,-6.128,0.213,0.291,0.0589,0.584,"edm",3
"The Chainsmokers","Family",0.607,-6.605,0.101,0.374,0.0356,0.584,"edm",5
"Martin Garrix","Hold On (feat. Michel Zitron)",0.711,-4.809,0.559,0.321,0.0385,0.422,"edm",3
"Martin Garrix","Used To Love (with Dean Lewis)",0.693,-4.722,0.335,0.392,0.0375,0.651,"edm",4
"The Chainsmokers","Takeaway - Andrew Rayel Remix",0.83,-3.301,0.0875,0.162,0.0727,0.469,"edm",2
"Martin Garrix","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix",0.78,-4.446,0.0729,0.238,0.0594,0.69,"edm",2
"The Chainsmokers","This Feeling - Tim Gunter Remix",0.859,-3.809,0.087,0.291,0.0803,0.415,"edm",1
"David Guetta","Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix",0.747,-5.289,0.174,0.516,0.165,0.678,"edm",1
"David Guetta","Don't Leave Me Alone (feat. Anne-Marie) - R3HAB Remix",0.949,-2.697,0.488,0.293,0.0903,0.618,"edm",1
"The Chainsmokers","Sick Boy - Owen Norton Remix",0.876,-4.03,0.0825,0.504,0.0606,0.735,"edm",1
"The Chainsmokers","Everybody Hates Me - Khrebto Remix",0.912,-3.017,0.365,0.304,0.129,0.407,"edm",1
"The Chainsmokers","Roses - Zaxx Remix",0.881,-3.534,0.359,0.566,0.054,0.677,"edm",2
"The Chainsmokers","Closer - R3hab Remix",0.559,-5.89,0.219,0.408,0.0417,0.775,"edm",2
"Martin Garrix","These Are The Times (feat. JRM)",0.707,-6.19,0.16,0.607,0.0328,0.687,"edm",4
"David Guetta","Thing For You - Don Diablo Remix",0.886,-3.042,0.613,0.539,0.087,0.755,"edm",1
"The Chainsmokers","Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,"edm",7
"David Guetta","Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,"edm",3
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"edm",8
"David Guetta","Thing For You - David Guetta Remix",0.867,-4.402,0.115,0.452,0.061,0.44,"edm",2
"David Guetta","Make It To Heaven (with Raye)",0.92,-4.697,0.185,0.35,0.0914,0.587,"edm",2
"David Guetta","Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,"edm",3
"The Chainsmokers","Until You Were Gone - Reez Remix",0.733,-6.127,0.358,0.316,0.0569,0.509,"edm",1
"The Chainsmokers","Don't Let Me Down - Hardwell & Sephyx Remix",0.897,-3.418,0.0625,0.283,0.0454,0.509,"edm",1
"David Guetta","Titanium (feat. Sia) - Alesso Remix",0.652,-6.826,0.0894,0.13,0.0461,0.696,"edm",2
"The Chainsmokers","Inside Out - DubVision Remix",0.799,-4.805,0.29,0.266,0.0551,0.719,"edm",2
"The Chainsmokers","Closer - R3hab Remix",0.559,-5.89,0.219,0.408,0.0417,0.775,"edm",2
"The Chainsmokers","All We Know - Oliver Heldens Remix",0.8,-5.852,0.314,0.43,0.0303,0.711,"edm",2
"The Chainsmokers","Paris - VINAI Remix",0.822,-3.309,0.356,0.335,0.0432,0.532,"edm",1
